month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
4,10,56000,3,1,67,0,0,0,0,0,0
4,11,29729,4,1,58,1,1,0,0,0,0
4,12,28328,5,1,57,1,1,0,0,0,0
4,13,31601,6,2,54,1,1,0,0,1,0
4,14,46549,7,2,57,1,1,0,0,0,0
4,15,38359,1,2,65,0,0,0,0,0,0
4,23,26376,2,3,60,1,1,0,0,0,0
4,24,44014,3,3,63,1,1,0,0,0,0
4,25,26345,4,3,64,1,1,0,0,0,0
4,27,44807,6,4,66,0,1,0,0,1,0
4,28,54242,7,4,71,0,1,0,0,0,1
4,29,48753,1,4,74,0,0,0,1,0,0
5,7,43713,2,5,67,0,1,0,0,0,0
5,8,32799,3,5,75,0,1,0,0,0,0
5,9,33993,4,5,71,0,1,0,0,0,0
5,11,35591,6,6,65,0,1,0,0,1,0
5,12,33735,7,6,65,0,1,0,0,0,0
5,13,49124,1,6,70,0,0,0,0,0,0
5,14,24312,2,7,67,0,1,0,0,0,0
5,15,47077,3,7,70,0,1,0,0,0,1
5,18,40906,6,8,64,0,1,0,0,1,0
5,19,39383,7,8,67,0,1,0,0,0,0
5,20,44005,1,8,77,0,1,0,0,0,0
5,25,36283,6,9,59,1,1,0,0,1,0
5,26,36561,7,9,61,1,1,0,0,0,0
5,27,33306,1,9,70,0,0,0,0,0,0
5,28,38016,2,10,73,0,1,0,0,0,0
5,29,51137,3,10,74,0,1,0,0,0,1
5,30,25509,4,10,69,0,1,0,0,0,0
5,31,26773,5,10,70,0,1,0,0,0,0
6,11,50559,2,11,68,0,1,0,1,0,0
6,12,55279,3,11,66,1,1,0,0,0,1
6,13,43494,4,11,67,0,1,0,0,0,0
6,15,40432,6,12,67,0,1,0,0,1,0
6,16,45210,7,12,68,0,1,0,0,0,0
6,17,53504,1,12,74,0,0,0,0,0,0
6,28,49006,5,13,75,0,1,0,0,0,1
6,29,49763,6,13,72,0,1,0,0,1,0
6,30,44217,7,13,78,0,0,0,0,0,0
7,1,55359,1,13,75,0,1,0,0,0,1
7,2,34493,2,14,70,0,1,0,0,0,0
7,3,33884,3,14,70,1,1,1,0,0,0
7,4,53570,4,14,70,0,1,0,0,1,0
7,13,43873,6,2,76,1,1,0,0,1,0
7,14,54014,7,2,75,0,1,0,0,0,1
7,15,39715,1,2,77,0,0,0,0,0,0
7,16,32238,2,15,67,0,1,0,0,0,0
7,17,53498,3,15,70,0,1,0,0,0,0
7,18,39955,4,15,80,1,0,0,0,0,0
7,30,33180,2,7,73,0,1,0,0,0,0
7,31,52832,3,7,75,1,1,0,0,0,1
8,1,36596,4,7,79,0,0,0,0,0,0
8,3,43537,6,16,73,0,1,0,0,1,0
8,4,46588,7,16,73,1,1,0,0,0,0
8,5,42495,1,16,83,0,0,1,0,0,0
8,6,32659,2,6,79,0,1,0,0,0,0
8,7,55024,3,6,80,0,1,0,0,0,1
8,8,37084,4,6,84,0,1,0,0,0,0
8,20,36878,2,5,80,0,1,0,0,0,0
8,21,56000,3,5,75,0,1,0,0,0,1
8,22,40173,4,5,75,0,1,0,0,0,0
8,24,39805,6,17,71,0,1,0,0,1,0
8,25,40284,7,17,70,0,1,0,0,0,0
8,26,41907,1,17,81,0,0,0,0,0,0
8,30,54621,5,7,80,0,1,0,0,0,1
8,31,37622,6,7,77,0,1,0,0,1,0
9,1,35992,7,7,81,0,1,0,0,0,0
9,2,31607,1,7,89,0,0,0,0,0,0
9,3,33540,2,2,84,1,1,0,0,0,0
9,4,40619,3,2,78,0,1,0,1,0,0
9,5,50560,4,2,77,1,1,0,0,0,0
9,13,43309,5,8,80,0,1,0,0,0,0
9,14,40167,6,8,85,0,1,0,0,1,0
9,15,42449,7,8,95,0,1,0,0,0,0
9,16,35754,1,8,86,0,0,0,0,0,0
9,28,37133,6,6,77,0,1,0,0,1,0
9,29,40724,7,6,84,1,1,0,0,0,0
9,30,35607,1,6,95,0,0,0,0,0,0
10,1,33624,2,5,86,0,1,0,0,0,0
10,2,42473,3,5,83,0,1,0,0,0,0
10,3,34014,4,5,82,1,1,0,0,0,0
